gold_x;gold_y;brown_x;brown_y;blue_x;blue_y;green_x;green_y;indigo_x;indigo_y;coral_x;coral_y
847.9950212450028;481.99945390892026;;;;;847.9936551065446;481.99839123535156;847.9969489574432;481.99854278564453;846.4920577491016;147.83291799221576
847.0110563503522;481.8915284432136;;;;;847.0320108255595;481.75456376457214;847.0994472503662;481.56988525390625;845.5042264992518;147.82302952614765
846.0122610360925;481.7819763138406;;;;;846.0525876459982;481.50622840666773;846.1915419786237;481.1362588554621;844.5028179104012;147.81361975643844
845.022858061269;481.67345437631013;;;;;845.090070643708;481.2621796550751;845.2902068751864;480.7057704478502;843.4961804513931;147.80475871658325
844.0255471279472;481.5640650601685;;;;;844.1224016676715;481.01682460680604;844.3861213033088;480.27396838366985;842.4999662421714;147.79655204813682
843.034353264781;481.45534669036743;;;;;843.1566205978394;480.7719482421875;843.4892733464949;479.8456230908632;841.499012477606;147.78884031490026
842.0354326250572;481.34578081476315;;;;;842.1893498807835;480.5266941735447;842.5848865765147;479.4136771708727;840.493722627989;147.78160161956924
841.032007962659;481.23572091874485;;;;;841.2218617214288;480.28138497182726;841.691411015112;478.9869425743818;839.4992612242077;147.77490600200184
840.0574482880999;481.1288270576857;;;;;840.2477990367042;480.0344087816775;840.7749590366147;478.54923416674137;838.500943618181;147.76861282997072
839.050153523445;481.018342672348;;;;;839.277579397862;479.78840700605514;839.8703301288188;478.1171725988388;837.4991691071363;147.76268940172707
838.0548395498544;480.9091723912656;;;;;838.2970675307512;479.5397956085205;838.9753730878583;477.6897304300219;836.4943363167961;147.7570984883085
837.0597783463902;480.80002983508865;;;;;837.3359611256647;479.2961045176089;838.0749440824729;477.2596747856587;835.5009516459144;147.75187049823543
836.0709872917749;480.69157501557606;;;;;836.376906850016;479.0529337495863;837.1789952623658;476.8317589312792;834.4910279569976;147.74680991025235
835.0738912693819;480.5822092717816;;;;;835.3998674174437;478.80520279708503;836.275552302599;476.4002637863159;833.4930120872427;147.7420072421135
834.0932795516104;480.4746515968144;;;;;834.4329111486674;478.5600284576416;835.3689637663774;475.96726627647877;832.5068006892928;147.7373985871045
833.0938209090737;480.3650267107673;;;;;833.4547048138751;478.31200163397193;834.4597497149371;475.53301478922367;831.5053867187501;147.732796875
832.100280749321;480.25605098915105;;;;;832.4935123515644;478.06828872302174;833.561429837253;475.10396648943424;830.5029370146618;147.72820209774218
831.0979169017763;480.14610744782954;;;;;831.5270498879149;477.82323958918454;832.6636598161422;474.6751808077097;829.4998356492707;147.72354335509755
830.1117415556294;480.0379395303763;;;;;830.5579875569383;477.57753125205636;831.7512942291796;474.2394241094589;828.4964638719063;147.7187438892564
829.1094829934386;479.92800753720155;;;;;829.5889954926462;477.3318407312334;830.8567199707031;473.79494857788086;827.4931997933354;147.71372088964458
828.1178042028856;479.81923597849675;;;;;828.6227438290505;477.08684504631157;829.9737792015076;473.32328671216965;826.5030281448364;147.70845474243166
827.127226491961;479.71058519090104;;;;;827.6367148268969;476.8368347644806;829.0972715839744;472.8449600217864;825.5009301080555;147.70271586149929
826.1325476352126;479.60148457214234;;;;;826.6842030738089;476.59532287049296;828.2347630858421;472.3663699552417;824.5000517384891;147.6964678847602
825.1346072998846;479.49202622050467;;;;;825.7055996347241;476.34719535997135;827.3549761837348;471.87103944353294;823.5007554203622;147.6896018289397
824.1426139642454;479.3832201611535;;;;;824.7416874009989;476.1027928437293;826.4879326820374;471.3763635754585;822.5033987596147;147.6820016440466
823.1408290715963;479.27334012207393;;;;;823.7599216661025;475.8538635246754;825.6293430998921;470.8804919505492;821.5083342433306;147.67354400277543
