"project";"rater.a";"rater.b";"consensus";"rater.mean"
"project_10";2;3;2;2.5
"project_11";0;1;0;0.5
"project_12";1;2;2;1.5
"project_13";8;10;10;9
"project_14";1;0;1;0.5
"project_15";1;1;1;1
