"AuthorTime","CommitterTime","AuthorTimeUnixEpochSecs","CommitterTimeUnixEpochSecs","MinutesSincePreviousCommit","AuthorNominalLabel","CommitterNominalLabel","IsInitialCommit","IsMergeCommit","NumberOfParentCommits","NumberOfFilesAdded","NumberOfFilesAddedNet","NumberOfLinesAddedByAddedFiles","NumberOfLinesAddedByAddedFilesNet","NumberOfFilesDeleted","NumberOfFilesDeletedNet","NumberOfLinesDeletedByDeletedFiles","NumberOfLinesDeletedByDeletedFilesNet","NumberOfFilesModified","NumberOfFilesModifiedNet","NumberOfFilesRenamed","NumberOfFilesRenamedNet","NumberOfLinesAddedByModifiedFiles","NumberOfLinesAddedByModifiedFilesNet","NumberOfLinesDeletedByModifiedFiles","NumberOfLinesDeletedByModifiedFilesNet","NumberOfLinesAddedByRenamedFiles","NumberOfLinesAddedByRenamedFilesNet","NumberOfLinesDeletedByRenamedFiles","NumberOfLinesDeletedByRenamedFilesNet","Density","AffectedFilesRatioNet","KW_add","KW_allow","KW_bug","KW_chang","KW_error","KW_fail","KW_fix","KW_implement","KW_improv","KW_issu","KW_method","KW_new","KW_npe","KW_refactor","KW_remov","KW_report","KW_set","KW_support","KW_test","KW_use","label","prob_a","prob_c","prob_p","CommitterTimeObj","AuthorTimeObj"
"2020-04-01 21:04:32","2020-04-01 21:04:18",1585775492,1585775538,1654.35,"L53e7b8a51e98d17","L53e7b8a51e98d17",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.00130442590863108,0.00119534568988611,0.997500228401483,2020-04-01 21:04:18,2020-04-01 21:04:32
"2020-04-02 13:04:54","2020-04-02 13:04:54",1585833654,1585833654,968.6,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"c",0.0159190036753462,0.758275403289945,0.225805593034708,2020-04-02 13:04:54,2020-04-02 13:04:54
"2020-04-02 14:04:20","2020-04-02 14:04:20",1585837880,1585837880,70.4333,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,18,15,0,0,0,0,0,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"p",0.0290669446693256,0.100929687771696,0.870003367558978,2020-04-02 14:04:20,2020-04-02 14:04:20
"2020-04-02 15:04:23","2020-04-02 15:04:23",1585839623,1585839623,29.05,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,2,2,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,"p",0.0173516772470658,0.0947583368594881,0.887889985893446,2020-04-02 15:04:23,2020-04-02 15:04:23
"2020-04-02 15:04:14","2020-04-02 15:04:14",1585839914,1585839914,33.9,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00103577720125405,0.996846353385471,0.00211786941327452,2020-04-02 15:04:14,2020-04-02 15:04:14
"2020-04-02 16:04:49","2020-04-02 16:04:49",1585844749,1585844749,80.5833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.00110880649752629,0.00123896417710105,0.997652229325373,2020-04-02 16:04:49,2020-04-02 16:04:49
"2020-04-02 16:04:31","2020-04-02 16:04:31",1585844911,1585844911,2.7,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00463059179549432,0.991851269415815,0.00351813878869061,2020-04-02 16:04:31,2020-04-02 16:04:31
"2020-04-02 16:04:47","2020-04-02 16:04:47",1585844987,1585844987,1.2667,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.026834390193301,0.273589804429926,0.699575805376773,2020-04-02 16:04:47,2020-04-02 16:04:47
"2020-04-02 16:04:11","2020-04-02 16:04:11",1585846211,1585846211,20.4,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00106836297508912,0.996890471639909,0.00204116538500165,2020-04-02 16:04:11,2020-04-02 16:04:11
"2020-04-02 16:04:10","2020-04-02 16:04:10",1585846390,1585846390,2.9833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"c",0.000894292097676201,0.997832313303511,0.00127339459881235,2020-04-02 16:04:10,2020-04-02 16:04:10
