gold_x;gold_y;brown_x;brown_y;blue_x;blue_y;green_x;green_y;indigo_x;indigo_y;coral_x;coral_y
847.9941506869317;481.9995236311627;;;;;847.9928960800171;481.9984744787216;847.9969489574432;481.99854278564453;847.9911425967316;184.74990836312563
847.0037295327306;481.9188636001122;;;;;847.0164442192763;481.78878770093434;847.0994472503662;481.56988525390625;846.9944211508912;184.73847092802504
846.0154656835692;481.83837926027223;;;;;846.0392567012459;481.57894294545986;846.1915419786237;481.1362588554621;845.9972227927911;184.7247634792492
845.0077893189973;481.7563139625851;;;;;845.0686613321304;481.3705138117075;845.2902068751864;480.7057704478502;844.9910955306063;184.70858840650735
844.0140517501723;481.6753838422848;;;;;844.081966785714;481.1586274828296;844.3861213033088;480.27396838366985;843.9935715099496;184.6901758497544
843.0176867546375;481.59423974400244;;;;;843.1198109264951;480.9520106797281;843.4892733464949;479.8456230908632;843.0046134689966;184.66953488601044
842.0163968686195;481.51269456198156;;;;;842.1402070063632;480.7416470173921;842.5848865765147;479.4136771708727;842.0073547634339;184.64626104080432
841.0321091655612;481.43253404001115;;;;;841.1620900463313;480.53160267020576;841.691411015112;478.9869425743818;841.0022039030473;184.62024734371283
840.0208683160243;481.35017845019246;;;;;840.1781036823522;480.32029790614615;840.7749590366147;478.54923416674137;840.0060982747724;184.59187855056064
839.0335908640425;481.26977444267055;;;;;839.1990104708821;480.11004391522147;839.8703301288188;478.1171725988388;839.0026209823441;184.56063300224895
838.0374449141924;481.188648183498;;;;;838.2215660900401;479.9001440001048;838.9753730878583;477.6897304300219;838.0084069568387;184.52697414663805
837.0385830206559;481.107300737509;;;;;837.2398398965597;479.6893245931715;838.0749440824729;477.2596747856587;837.0073419751055;184.49030141114994
836.0425647284508;481.0261848747921;;;;;836.2722776790615;479.48154680928565;837.1789952623658;476.8317589312792;835.9998402751975;184.4505060507797
835.04282461757;480.9447659066653;;;;;835.2839058656245;479.2693002980668;836.275552302599;476.4002637863159;835.0020782419658;184.40817088339065
834.055177053559;480.86433175717025;;;;;834.3048982005566;479.05906467768364;835.3689637663774;475.96726627647877;834.0140081222874;184.36330754169433
833.0485020396214;480.7823480096125;;;;;833.3391175928991;478.8516694830905;834.4597497149371;475.53301478922367;833.0046784334888;184.3143824509412
832.0614478202918;480.7019621821876;;;;;832.361924290657;478.64182348549366;833.561429837253;475.10396648943424;832.0055625053076;184.26279127810824
831.0505097258808;480.61963124878673;;;;;831.3756542254705;478.43002831123886;832.6636598161422;474.6751808077097;831.0014722956973;184.20769161187624
830.0660980063439;480.53946062689784;;;;;830.3968657736259;478.2198397654902;831.7512942291796;474.2394241094589;830.0078035556032;184.1498697464294
829.064833825315;480.4579175382946;;;;;829.4137649536133;478.0087251663208;830.8567199707031;473.79494857788086;829.0096823030736;184.0884011617892
828.0737721024872;480.3772053392497;;;;;828.4428711663932;477.8002319491934;829.9737792015076;473.32328671216965;828.0221866945171;184.024155037533
827.0739442680974;480.29577922690856;;;;;827.4721033424139;477.5917657818645;829.0972715839744;472.8449600217864;827.0162591247266;183.9551027443689
826.0702879230655;480.2140413201496;;;;;826.4893878489675;477.3807339291052;828.2347630858421;472.3663699552417;826.0214773772974;183.8831347362278
825.0683020509168;480.1324394569252;;;;;825.5112441142555;477.17068383222795;827.3549761837348;471.87103944353294;825.0236033787988;183.807159999397
824.0740772985295;480.05146966033055;;;;;824.5258931666613;476.9590860325843;826.4879326820374;471.3763635754585;824.0230590574545;183.7270669044184
823.0743334801264;479.9700503902626;;;;;823.5498859456275;476.74949473832385;825.6293430998921;470.8804919505492;823.0341138876448;183.64393586660196
822.07927444458;479.8890126495361;;;;;822.5855583827943;476.54241157579236;824.7608561515808;470.3730682730675;822.0430151359526;183.55654862707743
821.0827859559374;479.80785849395863;;;;;821.6083237919956;476.33255671174265;823.8936119452119;469.86070463526994;821.036667447835;183.4635145710899
820.0858224259376;479.7266656509495;;;;;820.6220686186571;476.12076473541674;823.0376124382019;469.3495725989342;820.0426928939501;183.36723570271835
819.0989504967007;479.6462946692541;;;;;819.6440360892739;475.910738519171;822.1871092719957;468.83650228136685;819.047832002528;183.26636420904697
818.0949084272982;479.56452534905077;;;;;818.6654955821577;475.70060321796336;821.3332616686821;468.3162595257163;818.0525077848218;183.16078756484092
817.1073277117729;479.48409664370536;;;;;817.6916973181942;475.49148628307375;820.4803790999576;467.7915081301471;817.057143413116;183.05039307924795
816.1099083406523;479.40286667693454;;;;;816.7051450014114;475.27963049709797;819.632447719574;467.26479691267014;816.062162003014;182.9350679488337
815.103267170918;479.2936333399546;;;;;815.7265352301765;475.06948032186483;818.7764679789543;466.72805412858725;815.0804859930107;182.816245290056
814.1157018381998;479.17889642091734;;;;;814.754584312439;474.8607600927353;817.9316852018237;466.19339448120445;814.0873653749514;182.69076582755397
813.1338175322533;479.0648195326519;;;;;813.7821655273438;474.65193939208984;817.0925650453428;465.6574721150828;813.083741195948;182.5583800988638
812.1286504315257;478.9480376120698;;;;;812.8104935139418;474.4432790558785;816.2525805160403;465.1161615392193;812.094513874274;182.42220399848597
811.1393389999866;478.84509943246843;;;;;811.8204725554679;474.23067840133444;815.4134470681893;464.5705626496492;811.1195781115495;182.2822631772177
810.1522579193115;478.7305589147949;;;;;810.8548141699284;474.0233094531577;814.5767829790711;464.02174455393106;810.1123238252488;182.1314793133113
809.15505194664;478.58510358810423;;;;;809.8692513313144;473.81166615127586;813.744113246561;463.47074605834496;809.1319958334797;181.97843641537622
808.1725495643914;478.4195574989915;;;;;808.8947945772503;473.5874749639076;812.9168734028935;462.9185761446133;808.1441414935532;181.81769168412868
807.1820632782765;478.2336253838006;;;;;807.9440649974478;473.2483654307318;812.0866905199364;462.3596404833952;807.16079804212;181.65091005004635
806.2024721070193;478.0329320422933;;;;;807.0159748122805;472.9173309955747;811.2544330040691;461.79444841457007;806.171475028836;181.47601292013672
805.2312189750373;477.81880785470725;;;;;806.0680905136693;472.5792363271901;810.4309192756191;461.2303695139708;805.1985669009142;181.29677585392287
804.2490234375;477.58796875;;;;;805.1190650774133;472.24073463386156;809.6072042360902;460.66131228674203;804.2103253655818;181.10704089970284
803.2933957837522;477.35034082882646;;;;;804.1803501810821;471.9059105397735;808.7942527607083;460.0949022928253;803.2289610173032;180.91063164773263
802.3193046911038;477.0955278888298;;;;;803.2374330247953;471.569587568989;807.9724499955773;459.51744383294135;802.2548743015042;180.70743866842855
801.3459562039934;476.82873972720836;;;;;802.3095910298616;471.2386416591876;807.15258323343;458.9364051194134;801.2685181753981;180.49292616403525
800.394480324816;476.5566224439511;;;;;801.3597546832074;470.89985072751784;806.3458304405212;458.3597909808159;800.3007627889514;180.27347788342834
799.4315185546875;476.27019507812497;;;;;800.4140085753141;470.5625187164352;805.5212379088625;457.76537746179383;799.3322447702424;180.04450861000757
798.4751486043097;475.975073204694;;;;;799.4808630340195;470.22968111927196;804.7425639276917;457.163426395088;798.3451274622404;179.8010271767843
797.5302209752263;475.6733309232118;;;;;798.5299755022656;469.89051524724476;803.9839907483838;456.4964165457792;797.3783344471699;179.5521390464111
796.5703821941279;475.35674731416674;;;;;797.5851758840965;469.5535208334089;803.2684088710412;455.7895155290327;796.4136411112677;179.2929551419669
795.6291186497547;475.0366431525138;;;;;796.651633897448;469.220541830738;802.6069420280692;455.0645959687678;795.4519959120084;179.02321762353998
794.69428601861;474.7094631132698;;;;;795.7148513940786;468.8864069892925;801.9578544131946;454.28210011003745;794.4943431330366;178.74266916240848
793.735138413962;474.36435926433296;;;;;794.760064344116;468.545850223548;801.3589127229061;453.4934377685971;793.5416216466372;178.4510532425036
792.8167978814126;474.003971100201;;;;;793.829829007183;468.2140506481982;800.78326098877;452.6711769484915;792.5947636532911;178.14811446745563
791.9151307955683;473.5636074278337;;;;;792.8906605423487;467.879064773719;800.2417905768634;451.8364358761235;791.6386905278994;177.82812122316966
791.0600328429937;473.0514639358521;;;;;791.9478654566992;467.5427853435141;799.7219031625718;450.97528956078486;790.6911390771593;177.49607939464815
790.2540219869613;472.46966534423825;;;;;791.007326121403;467.2073105021906;799.2336210925132;450.10965959557893;789.7530177019004;177.15173736090298
789.4905302192544;471.81306315048573;;;;;790.0582427291042;466.86878813689907;798.7653132045816;449.22418230480605;788.8252217510018;176.7948461748553
788.7818798171086;471.09287158405306;;;;;789.1098101370238;466.53049790129296;798.3166331828106;448.32155152935013;787.8942937178231;176.4192351640191
788.1507946309347;470.3419088530493;;;;;788.1726872475338;466.1962416497421;797.8963668629767;447.424532722983;786.9762756347657;176.0303604736328
787.5595773632583;469.52230621826646;;;;;787.2297362891284;465.8599066223003;797.4898610673777;446.5060513918428;786.0585280926489;175.62182838049472
787.0358761486009;468.6783374660444;;;;;786.2888757181925;465.52431720153174;797.1015533281025;445.57860830001425;785.1562159899051;175.1993284174377
786.5658436320928;467.7998030059141;;;;;785.3451605340057;465.18770958738025;796.7350834602439;444.65509705292135;784.2575175078881;174.75624292291295
786.1410068745744;466.8764522084665;;;;;784.405388093399;464.8525082847219;796.3857618514157;443.72789184069757;783.3766955074068;174.29850189502397
785.7787767566359;465.95852518735705;;;;;783.4583256787156;464.51470676875533;796.0460640548263;442.77889000200315;782.4909892601088;173.81263909224683
785.4565630534147;465.0008346258539;;;;;782.5193148193359;464.1727184814453;795.7236000270641;441.8313573177787;781.6376748276326;173.31796279402243
785.1841818734596;464.0399937193841;;;;;781.5892653183043;463.8232113137318;795.4180234521627;440.88798762890815;780.7726185062575;172.78717246266012
784.9582814178485;463.0797589229345;;;;;780.6539547998873;463.47172708642773;795.1228857466594;439.9312121140216;779.942137588943;172.24693425109731
784.7704791762953;462.08898498104094;;;;;779.7202389231754;463.12084211615814;794.8389076954445;438.96445470711535;779.1255192946998;171.68321444805997
784.6266997702521;461.09394714328766;;;;;778.7897955974227;462.77118695141564;794.5694723394859;438.00137344576507;778.3055378699261;171.0810206978062
784.5295240774601;460.09560956668855;;;;;777.8398517377436;462.41420359997574;794.3122009154649;437.035949756194;777.5230469106863;170.468505153945
784.4671773368027;459.11157255922444;;;;;776.9137123732778;462.0661658387347;794.0654024903197;436.0632994762026;776.7598196679451;169.83094289707094
784.3824089765549;458.1084133386612;;;;;775.9740813533949;461.71305799222665;793.83237121813;435.0983644890368;776.0175251079777;169.1678404089619
784.2981829902451;457.11167263811376;;;;;775.03191489256;461.35899734182493;793.6057884973234;434.1114816685451;775.2822031581538;168.46328375764165
784.2138997811294;456.11425475582973;;;;;774.0967193666733;461.00755632804186;793.3954967878344;433.146947210093;774.5873267721188;167.74744817163253
784.1296761886224;455.11754238383946;;;;;773.1655783928319;460.6576389912244;793.1923321646718;432.1641214259553;773.9178807067872;167.00470304870606
784.0449910745265;454.1153683084958;;;;;772.2333764220346;460.30732293795097;793.0000298815394;431.1800631358249;773.2816564823961;166.2427157489042
783.9611976456363;453.1237465457525;;;;;771.293355275998;459.95406848431423;792.8198769632727;430.20163747877;772.6725285602379;165.4532538260174
783.8772615312082;452.130436224772;;;;;770.3610527805407;459.603714654461;792.6487418815668;429.20984353288407;772.0915897809648;164.63595298432503
783.7928292545198;451.1312542584642;;;;;769.4166943325048;459.248830268078;792.4920316785574;428.23265750180246;771.5398072896367;163.79047752544784
783.7088550257772;450.1374928879891;;;;;768.4871447583787;458.8995109699742;792.3467033077031;427.2418719719923;771.032642526671;162.9421413993778
783.6243374001556;449.1373008918886;;;;;767.5516551925257;458.54795945768996;792.2324040788226;426.2398863825947;770.5538810970095;162.06571245918076
783.5398448545789;448.1374056961299;;;;;766.6129510429145;458.195199923614;792.1653224267066;425.24824456870556;770.1041435745437;161.16093639822446
783.4559097505221;447.14410733200793;;;;;765.673757717514;457.84225656013496;792.098249164701;424.25672678253613;769.6990796330571;160.26301373162866
783.3719758540534;446.15082325863125;;;;;764.7368006242932;457.4901535596414;792.0303270280492;423.25266041464056;769.3211132660251;159.3371437707832
783.287317463331;445.148965430983;;;;;763.8048051712207;457.1399151145221;791.9632054014146;422.26042767308536;768.9705171650003;158.38315493132487
783.2033006541064;444.15470015783785;;;;;762.8687084381834;456.788135432358;791.8956409363964;421.2616486249899;768.6587751427155;157.43747217529733
783.1191005501896;443.15826575271785;;;;;761.931695897076;456.4360115948728;791.827876791067;420.2599177809898;768.3772355416847;156.48260936621395
