"project";"AuthorTime";"CommitterTime";"AuthorTimeUnixEpochMilliSecs";"CommitterTimeUnixEpochMilliSecs";"MinutesSincePreviousCommit";"AuthorNominalLabel";"CommitterNominalLabel";"IsInitialCommit";"IsMergeCommit";"NumberOfParentCommits";"ParentCommitSHA1s";"NumberOfFilesAdded";"NumberOfFilesAddedNet";"NumberOfLinesAddedByAddedFiles";"NumberOfLinesAddedByAddedFilesNet";"NumberOfFilesDeleted";"NumberOfFilesDeletedNet";"NumberOfLinesDeletedByDeletedFiles";"NumberOfLinesDeletedByDeletedFilesNet";"NumberOfFilesModified";"NumberOfFilesModifiedNet";"NumberOfFilesRenamed";"NumberOfFilesRenamedNet";"NumberOfLinesAddedByModifiedFiles";"NumberOfLinesAddedByModifiedFilesNet";"NumberOfLinesDeletedByModifiedFiles";"NumberOfLinesDeletedByModifiedFilesNet";"NumberOfLinesAddedByRenamedFiles";"NumberOfLinesAddedByRenamedFilesNet";"NumberOfLinesDeletedByRenamedFiles";"NumberOfLinesDeletedByRenamedFilesNet";"Density";"AffectedFilesRatioNet";"KW_add";"KW_allow";"KW_bug";"KW_chang";"KW_error";"KW_fail";"KW_fix";"KW_implement";"KW_improv";"KW_issu";"KW_method";"KW_new";"KW_npe";"KW_refactor";"KW_remov";"KW_report";"KW_set";"KW_support";"KW_test";"KW_use";"label";"prob_a";"prob_c";"prob_p"
"project_1";"2020-03-23 12:03:45";"2020-03-23 12:03:45";1584967785000;1584967785000;1.8333;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"7460ae479193a20fb5004a1104b337da8939f2a8";0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.000998763865339259;0.000803509887294152;0.998197726247367
"project_1";"2020-03-24 18:03:59";"2020-03-24 18:03:59";1585073759000;1585073759000;1766.2333;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"20b37e0f808186d1f10c3302a21d07d6b9371fdd";0;0;0;0;0;0;0;0;3;3;0;0;64;54;15;15;0;0;0;0;0.87342;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.00997838042749748;0.0710644736834087;0.918957145889094
"project_1";"2020-03-30 15:03:38";"2020-03-30 15:03:38";1585583198000;1585583198000;8490.65;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"ce7807df30d832058c583635baf6f10d60b267a5";2;2;151;114;0;0;0;0;6;6;0;0;175;144;54;49;0;0;0;0;0.80789;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.996986963416566;0.000692243151871162;0.00232079343156251
"project_1";"2020-03-31 21:03:51";"2020-03-31 21:03:51";1585690371000;1585690371000;1786.2167;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"c965c938268d68b1b88451f25d51a3ad90374e01";9;9;51;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.92157;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997773855311468;0.00090469619715267;0.00132144849137931
"project_1";"2020-03-31 21:03:38";"2020-03-31 21:03:38";1585690658000;1585690658000;4.7833;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"a6372cde4bfedf70164c67f93627e48c14b99c10";0;0;0;0;0;0;0;0;1;1;0;0;3;2;0;0;0;0;0;0;0.66667;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997244913815629;0.00163791854050432;0.00111716764386629
"project_1";"2020-03-31 22:03:49";"2020-03-31 22:03:49";1585692589000;1585692589000;32.1833;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"0f5fa69742f4f951d2814071e49f81eacb27cc3e";12;10;164;132;0;0;0;0;5;5;0;0;15;14;43;39;0;0;0;0;0.83333;0.88235;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.99651533147312;0.000846397557361747;0.0026382709695184
"project_1";"2020-04-02 13:04:41";"2020-04-02 13:04:41";1585832441000;1585832441000;2330.8667;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"e63c2d6c527e553c46b773dec3b983587d61222a";17;12;217;172;0;0;0;0;9;9;0;0;4539;4532;2761;2761;0;0;0;0;0.99308;0.80769;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.977965908673851;0.0073359091936075;0.0146981821325413
"project_1";"2020-04-02 18:04:38";"2020-04-02 18:04:38";1585851038000;1585851038000;309.95;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"3507cb4ddd5d25ede75690d41d765786f9de2f3f";0;0;0;0;0;0;0;0;2;2;0;0;64;63;46;45;0;0;0;0;0.98182;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.998160472713042;0.000870961714847747;0.000968565572110754
"project_1";"2020-04-03 06:04:31";"2020-04-03 06:04:31";1585895671000;1585895671000;743.8833;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"ec20e6864e17c2a8a8315fddc060cea7eac20ce9";4;3;76;57;3;2;16;12;6;6;1;1;16;15;48;43;6;6;6;6;0.82738;0.85714;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.982495634173157;0.000926471992939062;0.0165778938339035
"project_1";"2020-04-03 12:04:12";"2020-04-03 12:04:12";1585916292000;1585916292000;343.6833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"443415f5b96aac5ba335f47aba961b126d09f30c";1;0;0;0;1;0;0;0;2;2;0;0;15;14;3;3;0;0;0;0;0.94444;0.5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.994440212224066;0.00349619706464715;0.00206359071128677
